RISK_ID,SEARCH_TERM_ID,GOOGLE_INDEX,TITLE,LINK,PUBLISHED_DATE,SUMMARY,KEYWORDS,SENTIMENT_COMPOUND,SENTIMENT,SOURCE,SOURCE_URL,PAYWALLED,CREDIBILITY_TYPE,QUALITY_SCORE,SCORE_RELEVANCE,SCORE_RECENCY,SCORE_LENGTH_150,SCORE_LENGTH_500,SCORE_WHITELIST_BONUS,SCORE_CLICKBAIT_PENALTY
1,6,88,1929 by Andrew Ross Sorkin — the hubris behind the Wall St crash - Financial Times,https://www.ft.com/content/a585a411-3060-4f55-bfa5-1b2867958bfd,2025-10-22 07:50:00,"JavaScript is disabled in your browser. Please enable JavaScript to proceed.

A required part of this site couldn’t load. This may be due to a browser extension, network issues, or browser settings. Please check your connection, disable any ad blockers, or try using a different browser.","javascript disabled, couldn load, enable javascript, load browser, issues browser",0.2263,Positive,ft,https://www.ft.com/content/a585a411-3060-4f55-bfa5-1b2867958bfd,True,Mainstream,1,0,1,0,0,0,0
1,6,76,Andrew Bailey warns ‘alarm bells’ ringing over private credit market - Financial Times,https://www.ft.com/content/cd0e2790-7ac7-49cf-b3e3-9c506a7d0ba8,2025-10-22 07:50:00,"JavaScript is disabled in your browser. Please enable JavaScript to proceed.

A required part of this site couldn’t load. This may be due to a browser extension, network issues, or browser settings. Please check your connection, disable any ad blockers, or try using a different browser.","javascript disabled, couldn load, enable javascript, load browser, issues browser",0.7003,Positive,ft,https://www.ft.com/content/cd0e2790-7ac7-49cf-b3e3-9c506a7d0ba8,True,Mainstream,1,0,1,0,0,0,0
1,6,83,"Budget impasse pushes Lancaster County into financial crisis, won't pay social services next month - LancasterOnline",https://lancasteronline.com/news/local/budget-impasse-pushes-lancaster-county-into-financial-crisis-wont-pay-social-services-next-month/article_d98452d4-4f55-49a0-95bf-25ce1a99ea5a.html,2025-10-22 07:50:00,"Editor's note: This story was updated on Tuesday, Oct. 21 at 6:41 p.m. to reflect additional information from the governor's office about the status of funding for senior services.

The Lancaster County board of commissioners on Tuesday unanimously agreed to stop reimbursing social service providers beginning in November, citing the state budget impasse that’s nearing the four-month mark.

The decision and comments from the county commissioners at their weekly work session reflected their frustr","lancaster counties, lancaster county, services lancaster, state payments, providers counties",-0.5999,Negative,lancasteronline,https://lancasteronline.com/news/local/budget-impasse-pushes-lancaster-county-into-financial-crisis-wont-pay-social-services-next-month/article_d98452d4-4f55-49a0-95bf-25ce1a99ea5a.html,False,Relevant Article,2,1,1,0,0,0,0
1,6,51,Bank chief says US firm collapses ring 'alarm bells' - BBC,https://www.bbc.com/news/articles/cvgv102n4gwo,2025-10-22 07:49:00,"Bank chief says US firm collapses ring 'alarm bells'

Mr Bailey also said the Bank of England was planning to run a ""stress test"" of private equity and credit firms.

He said it was unclear whether these were one-off issues, or a case of ""the canary in the coal mine"".

Andrew Bailey told a House of Lords committee that it was important to take the failure of car parts supplier First Brands and subprime car lender Tricolor ""very seriously"" - and drew parallels with the 2008 financial crisis.

The","bankruptcies brands, collapse companies, said bankruptcies, bankruptcies, lender tricolor",-0.9516,Negative,bbc,https://www.bbc.com/news/articles/cvgv102n4gwo,False,Mainstream,2,1,1,0,0,0,0
1,5,109,"From “No Buy 2025” to “Buy Nothing” groups, saving money is more gendered than ever. - Psychology Today",https://www.psychologytoday.com/us/blog/confessions-of-the-chronically-online/202509/inflation-hits-different-for-men-vs-women-but-why,2025-10-22 07:44:00,"Grocery store runs aren’t as fun as they used to be, and I’ve got the math to prove it. Last night I was at Trader Joe’s reaching for extra virgin olive oil when I found, for the first time since discovering EVOO, that every bottle was now squarely priced in the double digits. Things didn’t get much better when I stocked up later on all my favorite Reese's peanut butter chocolates in honor of Halloween, whose prices continue to creep even as their packaging continues to shrink. At last check, ec","latest inflation, frugal efforts, target inflation, worse inflation, inflation",0.9217,Positive,psychologytoday,https://www.psychologytoday.com/us/blog/confessions-of-the-chronically-online/202509/inflation-hits-different-for-men-vs-women-but-why,False,Relevant Article,1,0,1,0,0,0,0
1,5,108,Supply-Side Cost Pressures Drove Housing as Inflation Leader in 2024 - Eye On Housing,https://eyeonhousing.org/2025/10/supply-side-cost-pressures-drove-housing-as-inflation-leader-in-2024/,2025-10-22 07:44:00,"Though the rate of inflation peaked in June 2022, consumer prices continued to increase throughout 2023 and 2024 as inflation drove further price growth, according to 2024 CPI review from the Bureau of Labor Statistics. Nonetheless, the rate of inflation slowed from 3.4% in 2023 to 2.9% in 2024. All major categories experienced price increases in 2024, though only three out of eight accelerated, including medical care, education and communication, and apparel.

While all spending categories cont","housing inflation, shelter inflation, inflation 2024, 2024 inflation, inflation overall",0.7003,Positive,eyeonhousing,https://eyeonhousing.org/2025/10/supply-side-cost-pressures-drove-housing-as-inflation-leader-in-2024/,False,Relevant Article,2,1,1,0,0,0,0
1,5,26,UK inflation rate holds at 3.8% for third month in a row - BBC,https://www.bbc.com/news/live/cvgv1071417t,2025-10-22 07:44:00,"There are signs of things settling down

Dharshini David

Deputy economics editor

Image source, Getty Images

There is relief for many that inflation didn’t hit the feared 4% last month - relief for households, the government and the Bank of England.

Inflation, of course, remains considerably above the Bank of England's target and while that persists, consumers may remain jittery about spending, uneasy about the future path of prices.

After all, during the spike in inflation a couple of years","relief inflation, england inflation, inflation firmly, inflation fall, feels inflation",0.1027,Positive,bbc,https://www.bbc.com/news/live/cvgv1071417t,False,Mainstream,2,1,1,0,0,0,0
1,5,100,"Beware of N.Y. inflation refund check scams, Gov. Kathy Hochul says. Here's what to know. - CBS News",https://www.cbsnews.com/newyork/news/new-york-inflation-refund-check-scam/,2025-10-22 07:43:00,"The check is in the mail for millions of New York taxpayers who are looking forward to receiving their inflation refund checks from the state.

The checks of up to $400 started being sent out Friday.

""You work hard and, you know, the bills just keep piling up, and you just look at them and say when will it ever stop,"" Gov. Kathy Hochul said when she announced the kickoff of the program. ""It's utility bills, your grocery bills, the mortgage or the rent bills ... and New York families are just ge","inflation refund, york inflation, refund checks, residents scams, yorkers receive",-0.7506,Negative,cbsnews,https://www.cbsnews.com/newyork/news/new-york-inflation-refund-check-scam/,False,Relevant Article,2,1,1,0,0,0,0
1,5,76,"Inflation, food insecurity, and mental health: Generation Z’s burden in emerging Europe - Nature",https://www.nature.com/articles/s41599-025-05858-w,2025-10-22 07:43:00,"The Impact of Inflation on Food Insecurity

Our results indicate that more than 90% of the students were affected to some degree by inflation, while 30.8% reported a strong effect and 4.8% an extreme effect. Regarding household budgets, 56.9% of the respondents indicated budgets that were somewhat tighter than before while only 2.1% found their household budgets to be much tighter. Figure 2 (above) shows a significant positive relationship (χ2 = 77.710; p < 0.001; Cramer’s V = 0.224) between the","inflations food, inflation affected, inflation household, impact inflation, inflation food",-0.1027,Negative,nature,https://www.nature.com/articles/s41599-025-05858-w,False,Relevant Article,2,1,1,0,0,0,0
1,5,71,Fact checking Trump's recent claims about the economy - CBS News,https://www.cbsnews.com/news/fact-checking-trumps-recent-claims-about-the-economy/,2025-10-22 07:43:00,"Washington — President Trump frequently touts a U.S. economy that's on the rise under his stewardship: he talks about energy and grocery prices that are falling, lower mortgage rates and claims he's vanquished inflation. He argues things have never been better for the American consumer, especially after predecessor Joe Biden's administration.

This month, there were mixed messages on the economy — Americans' consumer confidence slid to its lowest point since May, but this week, revised data show","economy americans, economy president, energy prices, economy stronger, president tariffs",-0.3722,Negative,cbsnews,https://www.cbsnews.com/news/fact-checking-trumps-recent-claims-about-the-economy/,False,Relevant Article,2,1,1,0,0,0,0
